,Score,Comment,Comment_after_2,output
2929,7.8,"Rất rất thích ăn ở đây. Với hssv thì giá cả và chất lượng quá ok. Ngọt nhưng cho đá vào rất ngon và vừa vặn, mùa lạnh ăn kiểu này siêu thích. Mùa hè thì nếu đến chậm tí là hết đồ, mùa đông cùng giờ thì vẫn đủ hàng. Vị trí thì không hẳn là dễ tìm lắm. Nv phục vụ tốt. Không gian thì ngồi ghế nhựa không có bàn.",ăn đây hssv  nhưng cho ăn siêu đông không  khôngkhông,1
2930,8.2,"Quán này từ lâu nổi tiếng về thạch với caramen ngon mà giá cả hợp túi tiền học sinh sinh viên. Thạch tương đối mềm ngon, vị nào cũng rõ vị nhưng mình thích vị trà xanh với cafe. Có cho sữa đặc ngoài nên hơi ngọt, mùa đông cho ít đá vừa lạnh vừa ngọt. Quán mới mở rộng có thêm đồ ăn vặt chứ trước k có thấy ạ, mình có gọi khoai lang kén thì hơi bị miếng to miếng bé, nem rán thì ngon, sữa tươi chiên cũng ngon. Quán bây giờ rộng hơn và vẫn hết hàng nhanh thần tốc như xưa vậy.",quán này từ lâu nổi tiếng về thạch với mà giá cả hợp túi tiền học viên thạch tương đối mềm vị nào cũng rõ vị nhưng mình thích vị trà với  có cho sữa đặc ngoài nên hơi ngọt mùa đông cho ít đá vừa lạnh vừa ngọt quán mới mở rộng có thêm đồ ăn vặt chứ trước khôngcó thấy ạ mình có gọi kén thì hơi bị miếng miếng bé rán thì sữa tươi chiên cũng  quán bây giờ rộng hơn và vẫn hết hàng thần tốc như xưa vậy,1
2931,6.8,"Tui chỉ muốn nói là ngon vờ :((((
Đi đâu cùng chỉ muốn quay lại đây để ăn thui ạ
Hương vị ấy
Thạch mềm mềm 
Chân châu dai dai ngon ngon
Caramen thơm ngon
Nước dừa thơmmm nhg hơi ngọt ạ
Nchung là ngon ngon ngon ngon
Em bị nghiện rồi huhu",chỉ muốn nói là vờ đi đâu cùng chỉ muốn lại đây để ăn ạ hương vị ấy thạch mềm mềm chân châu thơm nước dừa thơmmm hơi ngọt ạ là bị nghiện rồi ,0
2932,7.2,"Chỗ này đúng kiểu ông tổ ngành thạch chè, có từ bao lâu rồi mà làm ăn vẫn siêu tốt, siêu đông đúc. Cả cái sân C5 đấy nhờ ơn Ngọc Thach mà bao hàng quán đồ ăn nhẹ khác đu theo kiếm được bao nhiêu. Ngọc Thạch chỉ chuyên thạch thôi, mình hay ăn suất 19k có rau câu cafe/matcha, caramen rồi cả trân châu, cốt dừa. Ăn cho nhiều đá vào mới bớt ngọt, ăn mát mát béo béo. Ăn vặt thì gọi ở quán bên cạnh, có nhiều lắm đủ loại luôn. Trong ảnh mình gọi trứng cút chiên, đùi gà chiên, viên cá, nem chua. Ăn tạm ổn, hơi dầu mỡ ngán ngẩm. Nói về ăn vặt ngon ở đây chắc chỉ có hàng xiên gà nướng ngon. Only xiên gà nướng 10k/xiên ngon ngọt ở cuối cái sân tập thể đấy có cả thịt xiên nem chua cũng ngon hơn cái hàng bên cạnh Ngọc Thạch
💸💸💸 5️⃣0️⃣/người",chỗ này đúng kiểu ông tổ ngành thạch chè có từ lâu rồi mà làm ăn vẫn siêu tốt siêu đông đúc cả cái sân đấy nhờ ơn ngọc mà hàng quán đồ ăn nhẹ khác đu kiếm được nhiêu ngọc thạch chỉ chuyên thạch thôi mình ăn suất có câu matcha rồi cả trân châu cốt dừa ăn cho nhiều đá vào mới bớt ngọt ăn mát mát béo béo ăn vặt thì gọi ở quán bên cạnh có nhiều lắm đủ loại luôn ảnh mình gọi trứng cút chiên đùi gà chiên viên cá  ăn tạm ổn hơi dầu mỡ ngán ngẩm nói về ăn vặt ở đây chắc chỉ có hàng xiên gà nướng  xiên gà nướng xiên ngọt ở cuối cái sân tập thể đấy có cả thịt xiên cũng hơn cái hàng bên cạnh ngọc thạch người,0
2933,7.6,"- Vị trí: trong ngõ khu TT KL khá dễ tìm
- Không gian: quán có 2 nhà khá sâu và rộng rãi
- Nhân viên: nhuệt tình và thân thiện 
- Món ăn: có đa dạng các vị, bán thêm cả bánh doraemon, crepe bé bé nhân hoa quả, scl, .. 
Chè ở đây là ngon nhất r (tốt hơn là k nên ăn nhữg thứ khác ngoài chè vì sẽ k có ấn tượng gì)
Mình gọi 2 chè và crepe xoài + doraemon. Bánh doraemon nhân 1 ít kem ở giữa, ăn cũng ổn còn crepe xoài kia thì xoài bị xơ 😂 còn vỏ crepe rất rất mỏng. 
Nem chua, gà nướng là mình ord 1 hàng bên cạnh nhưng nhân viên cũng bê đồ vào trong cho mình. Ở đây ord theo giấy, mình tự viết tên và tích vào thứ muốn ord. Lúc đó bạn mình chọn chè lá nếp nhưng tích nhầm cái khác mà vẫn đc nviên đổi lại cho. ♥️
Ngọc thạch quán quá nổi tiếng về chè r nên k có gì để chê cả.",vị trí ngõ khá dễ tìm khôngquán có nhà khá sâu và rộng rãi nhân viên nhuệt tình và thân thiện món ăn có đa dạng các vị bán thêm cả bánh doraemon crepe bé bé nhân quả scl chè ở đây là nhất rồi tốt hơn là khôngnên ăn những thứ khác ngoài chè vì sẽ khôngcó ấn tượng gì mình gọi chè và crepe xoài doraemon bánh doraemon nhân ít ở giữa ăn cũng ổn còn crepe xoài thì xoài bị xơ cười còn vỏ crepe rất rất mỏng gà nướng là mình hàng bên cạnh nhưng nhân viên cũng bê đồ vào cho mình ở đây giấy mình tự viết tên và tích vào thứ muốn lúc đó bạn mình chọn chè lá nếp nhưng tích nhầm cái khác mà vẫn được nviên đổi lại cho yêu ngọc thạch quán quá nổi tiếng về chè rồi nên khôngcó gì để chê cả,1
2934,7.6,"Quán ăn vặt này nằm ở trong ngõ C5 nhưng không gian quán cũng đủ rộng rãi. Có chỗ ngồi bên trong nhà và ngoài hiên. Menu ở đây bao gồm các đồ ăn ngọt như thạch với đủ loại vị rau câu, caramen ..giá một bát là tầm 15k - 20k nên cũng khá là rẻ. Ở đây mới có thêm bánh crepe dừa be bé, bọc ngoài là vỏ bột xanh, nhân bên trong có dừa với sữa. 
Một bát thạch caramen ăn mát mát, nhiều trân châu, caramen mềm với thơm, ăn không bị nát. Còn crepe dừa ăn khá ngọt nhưng cũng tạm ổn, vỏ mềm ăn với dừa sữa bên trong khá hợp. 
Nhân viên và cả bác chủ đều thân thiện, phục vụ nhiệt tình, phục vụ nhanh chóng",quán ăn vặt này nằm ở ngõ nhưng khôngquán cũng đủ rộng rãi có chỗ ngồi bên nhà và ngoài hiên ở đây gồm các đồ ăn ngọt như thạch với đủ loại vị câu giá một bát là tầm nên cũng khá là rẻ ở đây mới có thêm bánh crepe dừa bé bọc ngoài là vỏ bột nhân bên có dừa với sữa một bát thạch ăn mát mát nhiều trân châu mềm với thơm ăn khôngbị nát còn crepe dừa ăn khá ngọt nhưng cũng tạm ổn vỏ mềm ăn với dừa sữa bên khá hợp nhân viên và cả bác chủ đều thân thiện phục vụ nhiệt tình phục vụ chóng,1
2935,8.2,"Huhu lần đầu ăn ở Xuân Thuỷ nóng quá nên cho nhiều đá thành ra chẳng thấy vị gì. Lần này quyết ra bằng được Lương Định Của kiểm định lại. Quán ở bên này không xịn xịn đẹp đẹp như bên Xuân Thuỷ. Đi đúng hôm trời mưa trong nhà thì ẩm ẩm, ngoài sân thì vừa ướt vừa bẩn. Dù vừa mưa xong quán vẫn đông siêu đônggggg. Lần này ăn thì không còn gì để chê nữa vì ngon quá lại thêm gà xiên với lạp xưởng nướng combo hoàn hảo cho buổi chiều. Highly recommend lạp xưởng nhéee cá nhân t thấy ngon hơn cả xiên gà ✨",lần đầu ăn ở xuân thuỷ nóng quá nên cho nhiều đá thành chẳng thấy vị gì lần này quyết bằng được lương định của kiểm định lại quán ở bên này khôngxịn xịn đẹp đẹp như bên xuân thuỷ đi đúng hôm trời mưa nhà thì ẩm ẩm ngoài sân thì vừa ướt vừa bẩn dù vừa mưa quán vẫn đông siêu đônggggg lần này ăn thì khôngcòn gì để chê nữa vì quá lại thêm gà xiên với lạp xưởng nướng hoàn hảo cho buổi chiều lạp xưởng nhéee cá nhân thấy hơn cả xiên gà,1
2936,7.4,"Ăn ở đây n lần, chụp cả n bức ảnh mà chưa có được cái review nào tử tế cả. 

- Vị trí: Quán ở trong ngõ, vào là thấy ngay ở phía bên tay phải có khu tập thể cũ và đông người ngồi ăn. 

- Giá cả: Từ 15-20k là được 1 bát ngon lành rồi. Lựa chọn phong phú từ rau câu, caramen, sữa chua, nếp cẩm, trân châu, mít, thạch,... đủ cả. Ai thích ăn gì thì tự chọn và điền vào 1 tờ phiếu order + ghi tên. Có giá rõ ràng rồi nhé. 

- Chất lượng: Nói chung là rất ngon ☺☺☺ Không có gì để chê do mình đã ăn ở đây rất nhiều lần rồi 😂😂 Caramen/rau câu mịn, ngon lắm. Thông thường thì 1 bát hơi ngọt do có cốt dừa, thêm đá vào ăn là vừa ngay. Chính vì thế mà cũng khá no. Nếp cẩm cũng ngon, trân châu dai dẻo 😙 Mình ăn n lần rồi nên chả chê được gì 😂

- Phục vụ: Nhân viên lấy phiếu order từ khách sau đó sẽ gọi tên và mang đồ. Ở đây nhanh lắm không phải chờ lâu. Bác/chú thu tiền hay nói đùa nữa. Nói chung thái độ dễ chịu.

- Không gian: Có cả ngồi vỉa hè lẫn trong nhà. Ưu tiên ngồi trong nhà hơn, quạt quay vù vù mát sướng 😂😂 Hình thức cũng được, có giấy ăn mỗi bàn. Để xe theo sự chỉ dẫn của nhân viên quán.",ăn ở đây lần chụp cả bức ảnh mà chưa có được cái review nào tử tế cả vị trí quán ở ngõ vào là thấy ở phía bên phải có tập thể cũ và đông người ngồi ăn giá cả từ là được bát lành rồi lựa chọn phú từ câu sữa nếp cẩm trân châu mít thạch đủ cả thích ăn gì thì tự chọn và điền vào tờ phiếu tên có giá rõ ràng rồi nhé chất lượng nói là rất cười cười cười khôngcó gì để chê mình đã ăn ở đây rất nhiều lần rồi cười cười câu mịn lắm thông thường thì bát hơi ngọt có cốt dừa thêm đá vào ăn là vừa  chính vì thế mà cũng khá  nếp cẩm cũng trân châu dẻo thích mình ăn lần rồi nên chả chê được gì cười phục vụ nhân viên lấy phiếu từ khách đó sẽ gọi tên và đồ ở đây lắm khôngphải chờ lâu bác chú tiền nói đùa nữa nói thái độ dễ chịu khôngcó cả ngồi vỉa hè lẫn nhà ưu tiên ngồi nhà hơn quạt vù vù mát sướng cười cười hình thức cũng được có giấy ăn mỗi bàn để sự chỉ dẫn của nhân viên quán,0
2937,6.6,"Lâu lâu mới quay lại đây ăn, vì cũng ngại đường lắt léo, thường thì hay gọi ship hơn, cơ mà cuối tuần rảnh nên đi đó.
2 đứa mềnh gọi 2 bát rau câu caramen xoài. order bên ngoài bằng cách tích vào tờ giấy rồi đưa cho nhân viên, rồi vào ngồi chờ lúc là mang ra.
Chờ cũng hơi lâu vì quán đông khách lắm, ngồi chật trong nhà ngồi ra ngoài sân. Hôm đó hơi nóng nên mình ngồi trong nhà cho có quạt.
Nhân viên bưng ra 2 bát kèm đá bào. Ui phải nói là nó rất ngon ấy. Trước mình hay ăn chanh leo, nhưng giờ mình đã tìm ra tình yêu đích thực chính là xoài rồi. Caramen mềm ngậy, rau câu thanh mát núng nính, lại có cả lớp xoài mỏng bên dưới nữa. cho chút đá vào ăn phê cực.
Giá là 19k/bát, cũng khá rẻ nên có thể chén 2 bát mà không hề hấn gì.",lâu lâu mới lại đây ăn vì cũng ngại đường lắt léo thường thì gọi hàng hơn cơ mà cuối tuần rảnh nên đi đó đứa mềnh gọi bát câu xoài bên ngoài bằng cách tích vào tờ giấy rồi đưa cho nhân viên rồi vào ngồi chờ lúc là  chờ cũng hơi lâu vì quán đông khách lắm ngồi chật nhà ngồi ngoài sân hôm đó hơi nóng nên mình ngồi nhà cho có quạt nhân viên bưng bát kèm đá bào phải nói là nó rất ấy trước mình ăn nhưng giờ mình đã tìm tình yêu đích thực chính là xoài rồi mềm ngậy câu mát núng nính lại có cả lớp xoài mỏng bên dưới nữa cho chút đá vào ăn phê cực giá là bát cũng khá rẻ nên có thể chén bát mà khônghề hấn gì,0
2938,8.0,"Hôm đấy trời nóng nên đi ăn chè. Mình gọi caramen nếp mít với thạch chanh leo. Một bát đầy đặn, ăn kiểu ngọt thanh thanh ý. Các món chiên là của Quán Ngon bên cạnh. Cả đống trong ảnh là 100k. Món nào cũng ngon các mẹ ạ. Hi vọng quán sẽ luôn giữ đc phong độ ntn. Chắc chắn sẽ quay lại ăn tiếp hehe",hôm đấy trời nóng nên đi ăn chè mình gọi nếp mít với thạch  một bát đầy đặn ăn kiểu ngọt ý các món chiên là của quán bên cạnh cả đống ảnh là món nào cũng các mẹ ạ vọng quán sẽ luôn giữ được độ  chắc chắn sẽ lại ăn tiếp ,1
